<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/18/2021,SMKL-W,11,13,11,12,849300
2/18/2021,SMMA,12000,12000,11400,12000,33500
2/18/2021,SMMT,100,102,99,100,127800
2/18/2021,SMRA,850,880,840,870,72247100
2/18/2021,SMRU,50,50,50,50,0
2/18/2021,SMSM,1275,1285,1245,1270,605900
2/18/2021,SOCI,216,220,208,210,11146500
2/18/2021,SOFA,84,84,80,83,16700
2/18/2021,SOFA-W,3,3,2,2,373300
2/18/2021,SOHO,4910,4990,4910,4990,5500
2/18/2021,SONA,5650,5650,5650,5650,0
2/18/2021,SOSS,366,368,346,366,4500
2/18/2021,SOSS-W,25,27,25,27,5800
2/18/2021,SOTS,312,312,298,300,3489300
2/18/2021,SOTS-W,12,28,12,28,300
2/18/2021,SPMA,300,310,300,310,5100
2/18/2021,SPTO,500,505,498,500,204200
2/18/2021,SQMI,336,342,334,338,1562500
2/18/2021,SRAJ,161,168,161,163,78800
2/18/2021,SRIL,250,252,242,246,31434700
2/18/2021,SRSN,58,60,58,58,3830300
2/18/2021,SRTG,6000,6100,5825,5875,4279400
2/18/2021,SSIA,545,565,545,550,41803100
2/18/2021,SSMS,1065,1065,1020,1025,10752100
2/18/2021,SSTM,570,570,535,560,22100
2/18/2021,STAR,103,103,92,95,1800
2/18/2021,STTP,9550,9550,9550,9550,200
2/18/2021,SUGI,50,50,50,50,0
2/18/2021,SULI,50,50,50,50,5100
2/18/2021,SUPR,4250,4250,4250,4250,0
2/18/2021,SURE,2100,2100,2100,2100,0
2/18/2021,SWAT,101,104,99,103,234700
2/18/2021,TALF,268,296,268,292,6300
